session_duration,command_count,failed_logins,common_commands_enc,label
104,2.0,6.0,5,Brute Force
265,29.0,0.0,4,Command Injection
160,9.0,0.0,8,Command Injection
115,3.0,7.0,5,Brute Force
289,26.0,0.0,8,Command Injection
281,29.0,1.0,4,Command Injection
38,28.0,0.0,3,Command Injection
110,1.0,9.0,5,Brute Force
108,2.0,3.0,5,Brute Force
236,19.0,1.0,5,Command Injection
19,2.0,4.0,5,Brute Force
313,16.0,1.0,3,Command Injection
262,7.0,0.0,5,Command Injection
262,24.0,0.0,5,Command Injection
142,6.0,1.0,3,Command Injection
160,6.0,2.0,5,Other
20,0.0,9.0,5,Brute Force
176,24.0,1.0,8,Command Injection
180,14.0,0.0,8,Command Injection
197,4.0,2.0,5,Other
117,3.0,6.0,5,Brute Force
339,7.0,1.0,5,Command Injection
37,3.0,3.0,5,Brute Force
34,0.0,1.0,5,Brute Force
46,4.0,1.0,5,Other
190,7.0,1.0,5,Command Injection
90,1.0,2.0,5,Brute Force
55,7.0,1.0,2,Command Injection
171,16.0,0.0,8,Command Injection
343,26.0,0.0,3,Command Injection
72,4.0,4.0,5,Brute Force
23,0.0,8.0,5,Brute Force
5,1.0,1.0,5,Brute Force
67,4.0,6.0,5,Brute Force
73,3.0,5.0,5,Brute Force
279,23.0,1.0,4,Command Injection
189,24.0,1.0,3,Command Injection
74,1.0,0.0,5,Other
143,17.0,0.0,5,Command Injection
128,20.0,1.0,5,Command Injection
103,0.0,1.0,5,Brute Force
147,8.0,2.0,5,Other
82,27.0,1.0,2,Command Injection
175,19.0,1.0,2,Command Injection
312,6.0,0.0,5,Command Injection
321,10.0,1.0,8,Command Injection
271,24.0,1.0,4,Command Injection
146,10.0,1.0,3,Command Injection
146,8.0,0.0,5,Other
41,14.0,1.0,4,Command Injection
57,9.0,0.0,3,Command Injection
64,10.0,1.0,4,Command Injection
268,21.0,0.0,5,Command Injection
340,10.0,1.0,2,Command Injection
21,4.0,9.0,5,Brute Force
101,11.0,1.0,5,Command Injection
280,29.0,0.0,4,Command Injection
281,6.0,1.0,5,Command Injection
30,6.0,1.0,5,Other
98,6.0,1.0,5,Command Injection
124,15.0,1.0,4,Command Injection
55,2.0,5.0,5,Brute Force
53,1.0,9.0,5,Brute Force
384,24.0,0.0,8,Command Injection
341,23.0,0.0,4,Command Injection
221,29.0,0.0,5,Command Injection
96,13.0,0.0,5,Command Injection
130,10.0,1.0,5,Command Injection
141,8.0,1.0,4,Command Injection
6,1.0,2.0,5,Other
79,1.0,3.0,5,Brute Force
119,18.0,1.0,5,Command Injection
290,27.0,1.0,3,Command Injection
67,27.0,0.0,5,Command Injection
162,2.0,2.0,5,Other
41,4.0,3.0,5,Brute Force
43,23.0,0.0,5,Command Injection
133,23.0,0.0,4,Command Injection
260,8.0,0.0,5,Command Injection
101,4.0,4.0,5,Brute Force
144,23.0,1.0,3,Command Injection
331,15.0,1.0,5,Command Injection
133,7.0,0.0,5,Other
326,26.0,0.0,8,Command Injection
84,23.0,1.0,8,Command Injection
54,15.0,1.0,5,Command Injection
373,5.0,0.0,5,Command Injection
92,12.0,0.0,8,Command Injection
97,2.0,2.0,5,Brute Force
84,11.0,0.0,4,Command Injection
97,0.0,9.0,5,Brute Force
96,1.0,3.0,5,Brute Force
89,1.0,7.0,5,Brute Force
51,4.0,4.0,5,Brute Force
255,25.0,1.0,4,Command Injection
85,1.0,3.0,5,Brute Force
186,1.0,2.0,5,Other
182,10.0,1.0,3,Command Injection
202,21.0,1.0,5,Command Injection
30,4.0,5.0,5,Brute Force
26,4.0,8.0,5,Brute Force
230,6.0,0.0,2,Command Injection
137,16.0,0.0,5,Command Injection
117,3.0,8.0,5,Brute Force
89,9.0,0.0,5,Other
146,11.0,0.0,4,Command Injection
132,21.0,1.0,8,Command Injection
68,19.0,1.0,2,Command Injection
256,14.0,1.0,5,Command Injection
347,25.0,1.0,2,Command Injection
98,0.0,3.0,5,Brute Force
73,0.0,0.0,5,Other
348,18.0,1.0,4,Command Injection
113,1.0,2.0,5,Brute Force
103,3.0,1.0,5,Brute Force
298,28.0,0.0,8,Command Injection
224,29.0,1.0,3,Command Injection
280,9.0,1.0,5,Command Injection
144,7.0,1.0,4,Command Injection
88,20.0,0.0,5,Command Injection
62,0.0,3.0,5,Brute Force
106,16.0,0.0,5,Command Injection
116,2.0,7.0,5,Brute Force
118,3.0,1.0,5,Brute Force
175,3.0,2.0,5,Other
62,1.0,2.0,5,Brute Force
79,3.0,2.0,5,Brute Force
50,19.0,1.0,5,Command Injection
192,21.0,0.0,4,Command Injection
50,1.0,4.0,5,Brute Force
251,18.0,0.0,2,Command Injection
93,17.0,0.0,4,Command Injection
106,0.0,8.0,5,Brute Force
121,24.0,0.0,5,Command Injection
223,10.0,0.0,5,Command Injection
10,0.0,6.0,5,Brute Force
11,2.0,4.0,5,Brute Force
79,1.0,6.0,5,Brute Force
148,25.0,0.0,4,Command Injection
272,7.0,0.0,5,Command Injection
41,3.0,4.0,5,Brute Force
95,19.0,1.0,3,Command Injection
103,1.0,8.0,5,Brute Force
70,26.0,1.0,5,Command Injection
192,9.0,0.0,8,Command Injection
295,16.0,1.0,2,Command Injection
51,4.0,5.0,5,Brute Force
363,6.0,0.0,8,Command Injection
41,14.0,1.0,5,Command Injection
207,27.0,1.0,5,Command Injection
293,10.0,0.0,8,Command Injection
174,12.0,0.0,4,Command Injection
57,4.0,9.0,5,Brute Force
81,0.0,4.0,5,Brute Force
394,15.0,0.0,4,Command Injection
334,21.0,0.0,3,Command Injection
114,12.0,1.0,5,Command Injection
257,19.0,0.0,4,Command Injection
332,25.0,1.0,8,Command Injection
56,2.0,3.0,5,Brute Force
292,16.0,1.0,8,Command Injection
339,5.0,1.0,4,Command Injection
55,13.0,0.0,5,Command Injection
54,2.0,4.0,5,Brute Force
204,21.0,0.0,3,Command Injection
77,4.0,9.0,5,Brute Force
309,18.0,0.0,3,Command Injection
7,0.0,8.0,5,Brute Force
178,12.0,1.0,4,Command Injection
383,27.0,1.0,3,Command Injection
187,29.0,0.0,4,Command Injection
144,12.0,1.0,5,Command Injection
37,4.0,6.0,5,Brute Force
360,7.0,1.0,5,Command Injection
110,3.0,1.0,5,Brute Force
36,24.0,1.0,2,Command Injection
29,4.0,6.0,5,Brute Force
134,8.0,0.0,5,Other
36,4.0,2.0,5,Brute Force
85,19.0,0.0,8,Command Injection
8,0.0,5.0,5,Brute Force
66,4.0,3.0,5,Brute Force
275,10.0,0.0,5,Command Injection
49,3.0,1.0,5,Brute Force
81,20.0,1.0,5,Command Injection
109,0.0,8.0,5,Brute Force
261,25.0,1.0,4,Command Injection
202,23.0,0.0,4,Command Injection
181,21.0,0.0,3,Command Injection
290,9.0,1.0,5,Command Injection
358,6.0,0.0,5,Command Injection
284,22.0,1.0,5,Command Injection
317,6.0,0.0,5,Command Injection
242,16.0,1.0,4,Command Injection
109,1.0,5.0,5,Brute Force
79,2.0,9.0,5,Brute Force
151,7.0,0.0,5,Other
310,9.0,0.0,4,Command Injection
253,14.0,1.0,4,Command Injection
115,14.0,1.0,5,Command Injection
99,28.0,0.0,5,Command Injection
58,4.0,6.0,5,Brute Force
365,27.0,1.0,3,Command Injection
348,18.0,0.0,5,Command Injection
202,8.0,1.0,8,Command Injection
289,24.0,1.0,8,Command Injection
90,14.0,1.0,4,Command Injection
170,2.0,1.0,5,Other
99,8.0,1.0,8,Command Injection
86,24.0,1.0,2,Command Injection
14,1.0,9.0,5,Brute Force
207,5.0,0.0,8,Command Injection
18,0.0,5.0,5,Brute Force
140,8.0,0.0,5,Other
181,6.0,1.0,5,Command Injection
34,6.0,1.0,4,Command Injection
88,14.0,0.0,4,Command Injection
261,25.0,0.0,5,Command Injection
277,7.0,1.0,3,Command Injection
226,23.0,0.0,4,Command Injection
267,12.0,1.0,5,Command Injection
249,5.0,0.0,4,Command Injection
16,2.0,7.0,5,Brute Force
99,2.0,7.0,5,Brute Force
65,3.0,9.0,5,Brute Force
242,28.0,1.0,5,Command Injection
63,13.0,0.0,8,Command Injection
98,2.0,3.0,5,Brute Force
230,24.0,1.0,2,Command Injection
256,29.0,0.0,5,Command Injection
119,0.0,6.0,5,Brute Force
59,18.0,0.0,3,Command Injection
114,2.0,3.0,5,Brute Force
150,23.0,0.0,3,Command Injection
171,15.0,0.0,4,Command Injection
114,0.0,8.0,5,Brute Force
25,4.0,4.0,5,Brute Force
94,12.0,0.0,8,Command Injection
50,23.0,1.0,3,Command Injection
70,1.0,7.0,5,Brute Force
31,2.0,1.0,5,Brute Force
331,21.0,1.0,4,Command Injection
70,21.0,1.0,5,Command Injection
75,17.0,0.0,4,Command Injection
119,11.0,1.0,5,Command Injection
70,3.0,1.0,5,Brute Force
70,11.0,1.0,8,Command Injection
32,2.0,4.0,5,Brute Force
264,5.0,0.0,5,Command Injection
58,2.0,2.0,5,Brute Force
224,16.0,0.0,2,Command Injection
319,28.0,1.0,5,Command Injection
96,2.0,1.0,5,Brute Force
142,17.0,1.0,5,Command Injection
335,10.0,0.0,5,Command Injection
77,0.0,4.0,5,Brute Force
91,2.0,3.0,5,Brute Force
103,3.0,2.0,5,Other
103,3.0,2.0,5,Brute Force
105,3.0,6.0,5,Brute Force
213,24.0,0.0,5,Command Injection
212,8.0,1.0,4,Command Injection
82,2.0,2.0,5,Brute Force
366,21.0,0.0,2,Command Injection
171,2.0,1.0,5,Other
39,2.0,2.0,5,Brute Force
261,12.0,0.0,3,Command Injection
82,3.0,6.0,5,Brute Force
387,20.0,1.0,4,Command Injection
60,3.0,2.0,5,Brute Force
21,0.0,5.0,5,Brute Force
83,24.0,1.0,4,Command Injection
289,17.0,0.0,8,Command Injection
83,0.0,1.0,5,Brute Force
354,16.0,0.0,4,Command Injection
367,19.0,0.0,5,Command Injection
120,6.0,1.0,5,Other
310,13.0,0.0,3,Command Injection
103,1.0,3.0,5,Brute Force
13,0.0,6.0,5,Brute Force
245,12.0,0.0,3,Command Injection
264,7.0,0.0,2,Command Injection
2,5.0,0.0,5,Other
257,10.0,0.0,3,Command Injection
262,6.0,0.0,5,Command Injection
72,25.0,1.0,5,Command Injection
243,8.0,1.0,4,Command Injection
137,6.0,0.0,5,Other
391,29.0,1.0,2,Command Injection
69,0.0,4.0,5,Brute Force
84,3.0,0.0,5,Other
73,1.0,3.0,5,Brute Force
380,16.0,1.0,2,Command Injection
387,26.0,1.0,5,Command Injection
365,6.0,1.0,8,Command Injection
371,26.0,1.0,2,Command Injection
84,12.0,1.0,4,Command Injection
276,6.0,0.0,2,Command Injection
235,21.0,1.0,5,Command Injection
116,6.0,1.0,5,Other
197,7.0,2.0,5,Other
9,4.0,4.0,5,Brute Force
32,0.0,4.0,5,Brute Force
97,1.0,4.0,5,Brute Force
61,4.0,9.0,5,Brute Force
90,3.0,6.0,5,Brute Force
105,0.0,3.0,5,Brute Force
301,27.0,0.0,5,Command Injection
25,4.0,6.0,5,Brute Force
227,5.0,0.0,8,Command Injection
369,24.0,0.0,4,Command Injection
129,8.0,1.0,2,Command Injection
344,23.0,1.0,2,Command Injection
190,2.0,2.0,5,Other
51,23.0,0.0,5,Command Injection
357,5.0,0.0,3,Command Injection
88,5.0,1.0,5,Command Injection
11,2.0,6.0,5,Brute Force
46,6.0,1.0,5,Command Injection
295,6.0,0.0,4,Command Injection
70,26.0,1.0,3,Command Injection
102,5.0,1.0,4,Command Injection
338,19.0,0.0,5,Command Injection
49,3.0,7.0,5,Brute Force
10,0.0,2.0,5,Brute Force
102,23.0,1.0,3,Command Injection
180,19.0,1.0,3,Command Injection
190,15.0,1.0,5,Command Injection
203,7.0,1.0,5,Command Injection
398,5.0,1.0,5,Command Injection
136,9.0,0.0,3,Command Injection
339,28.0,1.0,3,Command Injection
162,21.0,1.0,3,Command Injection
225,16.0,1.0,4,Command Injection
114,1.0,1.0,5,Brute Force
179,13.0,1.0,5,Command Injection
17,3.0,7.0,5,Brute Force
238,15.0,1.0,5,Command Injection
275,23.0,1.0,8,Command Injection
51,1.0,1.0,5,Brute Force
68,4.0,7.0,5,Brute Force
270,21.0,0.0,2,Command Injection
60,0.0,9.0,5,Brute Force
45,4.0,3.0,5,Brute Force
214,12.0,1.0,8,Command Injection
67,2.0,2.0,5,Other
99,2.0,2.0,5,Brute Force
230,9.0,1.0,5,Command Injection
121,13.0,0.0,3,Command Injection
110,4.0,5.0,5,Brute Force
69,17.0,0.0,5,Command Injection
16,2.0,7.0,5,Brute Force
202,25.0,1.0,5,Command Injection
74,3.0,5.0,5,Brute Force
34,28.0,1.0,5,Command Injection
106,10.0,1.0,5,Command Injection
65,1.0,3.0,5,Brute Force
79,3.0,5.0,5,Brute Force
384,7.0,1.0,5,Command Injection
47,0.0,4.0,5,Brute Force
9,2.0,5.0,5,Brute Force
189,1.0,2.0,5,Other
182,9.0,1.0,5,Other
238,18.0,1.0,5,Command Injection
213,17.0,0.0,5,Command Injection
37,12.0,1.0,5,Command Injection
268,28.0,1.0,4,Command Injection
61,4.0,4.0,5,Brute Force
40,6.0,1.0,8,Command Injection
322,29.0,1.0,4,Command Injection
68,21.0,1.0,5,Command Injection
307,6.0,0.0,8,Command Injection
384,16.0,1.0,3,Command Injection
307,17.0,0.0,4,Command Injection
42,21.0,1.0,2,Command Injection
64,0.0,3.0,5,Brute Force
117,4.0,6.0,5,Brute Force
106,3.0,5.0,5,Brute Force
72,8.0,1.0,5,Other
354,24.0,0.0,8,Command Injection
118,0.0,4.0,5,Brute Force
109,6.0,1.0,5,Other
31,26.0,1.0,8,Command Injection
116,0.0,8.0,5,Brute Force
337,13.0,1.0,8,Command Injection
76,2.0,1.0,5,Brute Force
89,1.0,6.0,5,Brute Force
133,23.0,0.0,3,Command Injection
72,1.0,1.0,5,Brute Force
103,2.0,1.0,5,Brute Force
166,19.0,1.0,4,Command Injection
102,24.0,1.0,4,Command Injection
48,1.0,2.0,5,Brute Force
275,29.0,1.0,5,Command Injection
279,18.0,1.0,8,Command Injection
256,26.0,1.0,8,Command Injection
266,10.0,0.0,5,Command Injection
361,11.0,1.0,5,Command Injection
191,27.0,0.0,3,Command Injection
85,2.0,8.0,5,Brute Force
114,4.0,6.0,5,Brute Force
55,19.0,0.0,5,Command Injection
17,3.0,7.0,5,Brute Force
192,20.0,1.0,4,Command Injection
397,19.0,0.0,5,Command Injection
300,15.0,0.0,2,Command Injection
315,14.0,1.0,5,Command Injection
151,18.0,1.0,3,Command Injection
352,14.0,0.0,4,Command Injection
150,6.0,2.0,5,Other
358,27.0,1.0,4,Command Injection
103,18.0,1.0,2,Command Injection
40,25.0,0.0,5,Command Injection
301,21.0,0.0,5,Command Injection
362,8.0,0.0,5,Command Injection
41,17.0,1.0,4,Command Injection
105,1.0,7.0,5,Brute Force
304,17.0,1.0,5,Command Injection
73,3.0,3.0,5,Brute Force
67,10.0,1.0,8,Command Injection
79,4.0,6.0,5,Brute Force
188,7.0,0.0,5,Command Injection
173,20.0,1.0,8,Command Injection
238,5.0,0.0,3,Command Injection
360,17.0,0.0,3,Command Injection
313,29.0,1.0,5,Command Injection
113,0.0,4.0,5,Brute Force
230,14.0,1.0,2,Command Injection
188,29.0,1.0,5,Command Injection
92,1.0,6.0,5,Brute Force
96,0.0,0.0,5,Other
82,3.0,1.0,5,Brute Force
290,17.0,0.0,3,Command Injection
219,27.0,1.0,4,Command Injection
95,0.0,8.0,5,Brute Force
45,7.0,1.0,5,Command Injection
37,2.0,3.0,5,Brute Force
304,10.0,0.0,5,Command Injection
229,14.0,1.0,4,Command Injection
296,14.0,0.0,4,Command Injection
81,26.0,0.0,4,Command Injection
46,4.0,0.0,5,Other
15,3.0,6.0,5,Brute Force
382,8.0,1.0,5,Command Injection
246,23.0,1.0,5,Command Injection
86,0.0,9.0,5,Brute Force
217,6.0,1.0,2,Command Injection
321,22.0,1.0,4,Command Injection
46,11.0,1.0,5,Command Injection
119,25.0,0.0,8,Command Injection
23,4.0,2.0,5,Brute Force
149,6.0,0.0,5,Other
166,4.0,1.0,5,Other
10,1.0,9.0,5,Brute Force
179,9.0,0.0,5,Command Injection
295,19.0,0.0,5,Command Injection
114,7.0,0.0,4,Command Injection
102,0.0,6.0,5,Brute Force
89,0.0,1.0,5,Other
219,17.0,0.0,5,Command Injection
249,5.0,1.0,5,Command Injection
226,29.0,1.0,5,Command Injection
143,19.0,0.0,8,Command Injection
80,15.0,0.0,5,Command Injection
53,4.0,3.0,5,Brute Force
202,18.0,1.0,3,Command Injection
144,27.0,0.0,4,Command Injection
330,16.0,1.0,4,Command Injection
50,12.0,1.0,5,Command Injection
163,15.0,0.0,5,Command Injection
270,24.0,0.0,4,Command Injection
102,4.0,3.0,5,Brute Force
365,16.0,1.0,8,Command Injection
14,0.0,4.0,5,Brute Force
238,20.0,0.0,4,Command Injection
138,14.0,0.0,8,Command Injection
42,3.0,0.0,5,Other
103,7.0,2.0,5,Other
212,21.0,0.0,5,Command Injection
354,23.0,1.0,4,Command Injection
53,2.0,6.0,5,Brute Force
112,14.0,0.0,8,Command Injection
163,29.0,0.0,2,Command Injection
119,20.0,0.0,5,Command Injection
